類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,S
大樓,EE00112,平心里,臺中市北屯區崇德路二段178號,"24.17306,120.685734",4,6638,第五分局,
大樓,EE00113,平陽里,臺中市北屯區山西路二段270號,"24.175851,120.677142",2,7134,第五分局,
大樓,EE00114,平德里,臺中市北屯區文心路四段522-1號,"24.172042,120.684321",4,1874,第五分局,
大樓,EE00115,平德里,臺中市北屯區文心路四段278號,"24.172575,120.680132",4,5598,第五分局,
一般住宅,ED00232,和平里,臺中市北屯區和平里和祥7街59號,"24.175991,120.72882",1,395,第五分局,
一般住宅,ED00233,和平里,臺中市北屯區和平里松竹路1段7-16號,"24.176245,120.730117",1,1073,第五分局,
公寓大廈,ED00293,和平里,臺中市北屯區和平里東山路一段332號之1,"24.175998,120.723911",1,5311,第五分局,
公寓大廈,ED00294,?子里,臺中市北屯區?子里太原路三段1289號,"24.161746,120.7261",1,4845,第五分局,
公寓大廈,ED00236,?子里,臺中市北屯區?子里環太東路459號,"24.157368,120.729091",1,26907,第五分局,
機關學校,ED00295,?子里,臺中市北屯區?子里景賢路290號,"24.167368,120.721602",1,56800,第五分局,
公寓大廈,ED00296,?子里,臺中市北屯區?子里太原路三段1277號,"24.161932,120.725505",1,3184,第五分局,
公寓大廈,ED00297,?子里,臺中市北屯區?子里太原路三段1220號,"24.160879,120.726804",1,3223,第五分局,
公寓大廈,ED00298,?子里,臺中市北屯區?子里樹孝路758號,"24.161642,120.722987",1,1521,第五分局,
機關學校,EC00218,新平里,臺中市北屯區新平里經貿路一段110號,"24.178925,120.661517",1,7382,第五分局,
機關學校,EC00219,新平里,臺中市北屯區新平里經貿路一段120號,"24.179241,120.661053",1,9761,第五分局,
機關學校,EC00220,新平里,臺中市北屯區新平里經貿路一段100號,"24.178387,120.661124",1,8090,第五分局,
機關學校,EC00221,新平里,臺中市北屯區新平里經貿路一段110號,"24.178925,120.661517",1,7382,第五分局,
公寓大廈,EC00222,陳平里,臺中市北屯區陳平里中清路二段742巷55號,"24.185741,120.665809",1,914,第五分局,
公寓大廈,EC00223,新平里,臺中市北屯區新平里中清路二段415巷86號,"24.179273,120.66576",1,3163,第五分局,
機關,EC00224,新平里,臺中市北屯區新平里經貿二路138號,"24.187573,120.660436",1,2589,第五分局,
公寓大廈,EF00615,舊社里,臺中市北屯區舊社里南興路1336號,"24.19656,120.706295",1,2702,第五分局,
公寓大廈,EF00616,舊社里,臺中市北屯區舊社里敦富一街200之3號,"24.184056,120.706104",1,6779,第五分局,
其他,EF00617,舊社里,臺中市北屯區舊社里南興路818號,"24.187052,120.704817",1,1780,第五分局,
其他,EF00618,舊社里,臺中市北屯區舊社里旱溪西路三段522號,"24.181981,120.710328",1,3994,第五分局,
公寓大廈,EF00619,松和里,臺中市北屯區松和里松竹路二段317號,"24.182656,120.692544",1,1726,第五分局,
公寓大廈,EF00620,舊社里,臺中市北屯區舊社里南興路999號,"24.195067,120.70593",1,1138,第五分局,
公寓大廈,EF00621,舊社里,臺中市北屯區舊社里南興路1052號,"24.190935,120.705646",1,5798,第五分局,
公寓大廈,EF00622,舊社里,臺中市北屯區舊社里敦富路619號,"24.192997,120.706819",1,3814,第五分局,
公寓大廈,EF00623,舊社里,臺中市北屯區舊社里松竹五路一段223號,"24.174752,120.706973",1,7192,第五分局,
公寓大廈,EF00624,舊社里,臺中市北屯區舊社里南興路188號,"24.175854,120.703942",1,8432,第五分局,
公寓大廈,EB00458,仁和里,臺中市北屯區仁和里崇德八路一段176號,"24.183792,120.686767",1,5082,第五分局,
公寓大廈,EB00459,仁和里,臺中市北屯區仁和里四平路318號,"24.191569,120.681293",1,2292,第五分局,
公寓大廈,EB00460,同榮里,臺中市北屯區同榮里同榮路130巷1號,"24.194692,120.662004",1,2385,第五分局,
一般住宅,EB00461,仁和里,臺中市北屯區仁和里山西路三段102號,"24.185313,120.684137",1,1519,第五分局,
中華電信,FA02041,西安里,臺中市西屯區西安里逢甲路230號,"24.175511,120.639764",1,1654,第六分局,
西屯國小,FA00187,西安里,臺中市西屯區西安里西屯路二段300號,"24.179539,120.640687",1,4082,第六分局,
泰安國小,FA00403,港尾里,臺中市西屯區港尾里同志巷15號,"24.197704,120.649102",1,800,第六分局,
上石國小,FA02015,上石里,臺中市西屯區上石里西屯路二段上石南六巷25號,"24.17324,120.643736",1,3230,第六分局,
上安國小,FA02045,至善里,臺中市西屯區至善里上安路156號,"24.172511,120.63914",1,3386,第六分局,
臺中市政府,FD00448,惠來里,臺中市西屯區惠來里臺灣大道三段99號,"24.161989,120.647296",2,22892,第六分局,
國家中山科學研究院,FA02147,西平里,臺中市西屯區西安街227巷300之5號,"24.181979,120.646458",3,1269,第六分局,
郵政大樓,FB00418,福恩里,臺中市西屯區福恩里臺灣大道四段2147號,"24.182435,120.593303",1,6938,第六分局,
榮民醫院,FB00005,福聯里,臺中市西屯區福聯里臺灣大道四段1650號,"24.184298,120.604647",1,10000,第六分局,
協和派出所,FB00092,福恩里,臺中市西屯區福恩里臺灣大道四段1347號,"24.183859,120.6089",1,650,第六分局,
臺中市水湳水資源回收中心,FC01610,大河里,臺中市西屯區大河里甘肅路二段123號,"24.173954,120.654617",1,2550,第六分局,
臺中市議會,FD00460,惠來里,臺中市西屯區惠來里市政北一路56號,"24.158639,120.644758",1,11330,第六分局,
榮民醫院,FB00412,福瑞里,臺中市西屯區福瑞里西屯路三段303號之1,"24.191424,120.608673",1,1358,第六分局,
西屯區公所,FD00445,潮洋里,臺中市西屯區潮洋里市政北二路386號,"24.165489,120.63372",1,3208,第六分局,
第六分局,FD00421,惠來里,臺中市西屯區惠來里市政路456號,"24.159492,120.639022",1,1499,第六分局,
臺中市政府,FD00105,何成里,臺中市西屯區何成里文心路二段588號,"24.159566,120.648342",1,5309,第六分局,
愛買,FA02149,港尾里,臺中市西屯區港尾里中清路二段1199號,"24.192474,120.659154",2,7607,第六分局,
特力屋,FE00522,福安里,臺中市西屯區福安里臺灣大道4段528號,"24.178543,120.625236",1,3390,第六分局,
僑光科技大學,FA00110,西墩里,臺中市西屯區西墩里僑光路100號,"24.189102,120.64319",1,5920,第六分局,
逢甲大學,FA00112,鵬程里,臺中市西屯區鵬程里文華路100號,"24.17931,120.649991",1,2356,第六分局,
宜寧中學,FE00526,永安里,臺中市西屯區永安里東大路一段555號,"24.194006,120.606238",1,2786,第六分局,
東海大學,FB00422,福恩里,臺中市西屯區福恩里臺灣大道四段1171號,"24.182172,120.611836",1,892,第六分局,
東海大學,FB00012,福恩里,臺中市西屯區福恩里臺灣大道四段1727號,"24.182324,120.607816",1,3161,第六分局,
逢甲大學,FA01763,西平里,臺中市西屯區西平里福星北路96號,"24.187906,120.645916",1,582,第六分局,
東海大學,FB00424,福恩里,臺中市西屯區福恩里臺灣大道四段1627號,"24.183859,120.6089",1,400,第六分局,
遠東百貨,FD00455,惠來里,臺中市西屯區惠來里市政北七路48號,"24.163547,120.644558",7,13785,第六分局,
TIGER CITY,FD00387,潮洋里,臺中市西屯區潮洋里河南路三段120號,"24.164283,120.638024",1,10554,第六分局,
家樂福,FE00498,福林里,臺中市西屯區福林里臺灣大道四段1086號,"24.183944,120.614735",1,10837,第六分局,
家樂福,FA00402,上德里,臺中市西屯區上德里青海路二段207號,"24.169526,120.646019",1,1833,第六分局,
機關,FD00516,潮洋里,臺中市西屯區臺灣大道四段5巷55號,"24.16318,120.63294",1,280,第六分局,
機關,FD00516,潮洋里,臺中市西屯區臺灣大道四段5巷55號,"24.16318,120.63294",1,377,第六分局,
機關,FD00518,惠來里,臺中市西屯區文心路二段99號,"24.15859,120.64652",1,5334,第六分局,
學校,FE00295,永安里,臺中市西屯區西屯路三段133號,"24.18504,120.62515",1,2474,第六分局,
國家歌劇院,FD00387,惠來里,臺中市西屯區惠來里惠來路二段101號,"24.162569,120.64113",1,23906,第六分局,
新光三越,FD00377,?來里,臺中市西屯區惠來里臺灣大道三段301號,"24.164663,120.643224",3,14780,第六分局,
海派酒店,FD00454,潮洋里,臺中市西屯區潮洋里青海南街77號,"24.172903,120.635371",2,1144,第六分局,
長榮酒店,FC01260,何明里,臺中市西屯區何明里臺灣大道二段666號,"24.159105,120.657228",1,6976,第六分局,
米平方廣場,FE00523,永安里,臺中市西屯區永安里國安一路168號,"24.192233,120.612064",1,2794,第六分局,
星享道酒店,FA02083,西平里,臺中市西屯區西平里福星北路18號,"24.18308,120.645034",1,3134,第六分局,
公寓,FF00259,寶山里,臺中市南屯區寶山里工業區24路27號,"24.157513,120.606651",1,1508,第六分局,
公寓,FF00241,寶山里,臺中市南屯區寶山里工業區24路5號,"24.162331,120.599701",1,186,第六分局,
公寓,FF00224,寶山里,臺中市南屯區寶山里工業區23路12號,"24.161306,120.607038",1,841,第六分局,
公寓,FF00263,寶山里,臺中市南屯區寶山里工業區27路2號,"24.162894,120.607775",1,6256,第六分局,
公寓,FF00226,寶山里,臺中市南屯區寶山里工業區29路8號,"24.162246,120.607353",1,2496,第六分局,
公寓,FF00117,寶山里,臺中市南屯區寶山里工業區20路20號,"24.158995,120.606269",1,46,第六分局,
公寓,FF00222,寶山里,臺中市南屯區寶山里工業區21路16號,"24.159618,120.606521",1,22,第六分局,
公寓,FF00034,寶山里,臺中市南屯區寶山里工業區24路15號,"24.160487,120.607722",1,293,第六分局,
公寓,FF00147,寶山里,臺中市南屯區寶山里工業區25路20號,"24.158995,120.606269",1,536,第六分局,
公寓,FF00223,寶山里,臺中市南屯區寶山里工業區27路1號,"24.162057,120.6082",1,385,第六分局,
公寓,FF00190,協和里,臺中市西屯區協和里工業區28路5號,"24.164245,120.597511",1,97,第六分局,
公寓,FF00036,協和里,臺中市西屯區協和里工業區31路10號,"24.171216,120.597976",1,1009,第六分局,
公寓,FF00225,協和里,臺中市西屯區協和里工業區33路12-3號,"24.170089,120.597461",1,2644,第六分局,
公寓,FA00217,上石里,臺中市西屯區上石里青海路二段240號,"24.170134,120.645929",1,1358,第六分局,
公寓,FA00426,上石里,臺中市西屯區上石里西屯路二段277號,"24.175612,120.643956",1,300,第六分局,
公寓,FA02081,上石里,臺中市西屯區上石里西屯路二段281-10號,"24.175864,120.643379",1,580,第六分局,
公寓,FA01617,上石里,臺中市西屯區上石里西屯路二段287-5號,"24.176494,120.643213",1,266,第六分局,
公寓,FA01784,上石里,臺中市西屯區上石里西屯路二段273-5號,"24.175159,120.643942",1,266,第六分局,
公寓,FA01976,上石里,臺中市西屯區上石里西屯路二段275-2號,"24.175336,120.643963",1,200,第六分局,
公寓,FA00104,上石里,臺中市西屯區上石里西屯路二段285號,"24.176114,120.643468",1,266,第六分局,
公寓,FA02047,上石里,臺中市西屯區上石里青海路二段282號,"24.172986,120.642172",1,3018,第六分局,
公寓,FA01948,上石里,臺中市西屯區上石里上石南十巷13號,"24.175554,120.643628",1,32,第六分局,
公寓,FA01784,上石里,臺中市西屯區上石里西屯路二段273號,"24.174869,120.644129",1,1061,第六分局,
公寓,FA00102,上石里,臺中市西屯區上石里西屯路二段275號,"24.175514,120.643981",1,1046,第六分局,
公寓,FA00426,上石里,臺中市西屯區上石里西屯路二段277號,"24.175612,120.643956",1,300,第六分局,
公寓,FA01503,上石里,臺中市西屯區上石里西屯路二段285-3號,"24.176266,120.643421",1,100,第六分局,
公寓,FA01617,上石里,臺中市西屯區上石里西屯路二段287號,"24.176494,120.643213",1,30,第六分局,
公寓,FA01617,上石里,臺中市西屯區上石里西屯路二段287號,"24.176494,120.643213",1,30,第六分局,
公寓,FA01895,上安里,臺中市西屯區上安里青海路二段300號,"24.172899,120.641628",1,110,第六分局,
公寓,FA00215,上德里,臺中市西屯區上德里青海路二段209號,"24.170718,120.644786",1,1928,第六分局,
公寓,FC00599,大河里,臺中市西屯區大河里富強巷2弄15號,"24.174395,120.660467",1,213,第六分局,
公寓,FC00600,大河里,臺中市西屯區大河里大河一巷45號,"24.171987,120.652807",1,160,第六分局,
公寓,FC00557,大河里,臺中市西屯區大河里河南路二段24號,"24.172764,120.660898",1,62,第六分局,
公寓,FC00553,大河里,臺中市西屯區大河里河南路二段26號,"24.172837,120.660869",1,62,第六分局,
公寓,FC00554,大河里,臺中市西屯區大河里河南路二段28號,"24.172872,120.660856",1,62,第六分局,
公寓,FC00555,大河里,臺中市西屯區大河里河南路二段30號,"24.17291,120.660842",1,62,第六分局,
公寓,FC00556,大河里,臺中市西屯區大河里河南路二段32號,"24.172947,120.660827",1,62,第六分局,
公寓,FC00551,大河里,臺中市西屯區大河里河南路二段34號,"24.172984,120.660813",1,62,第六分局,
公寓,FC00552,大河里,臺中市西屯區大河里河南路二段36號,"24.17302,120.660799",1,62,第六分局,
公寓,FC00583,大河里,臺中市西屯區大河里長安路二段1號,"24.172595,120.660998",1,30,第六分局,
公寓,FC00585,大河里,臺中市西屯區大河里長安路二段5號,"24.172633,120.661126",1,160,第六分局,
公寓,FC00586,大河里,臺中市西屯區大河里長安路二段7號,"24.172651,120.661191",1,160,第六分局,
公寓,FC00587,大河里,臺中市西屯區大河里長安路二段9號,"24.172687,120.661255",1,125,第六分局,
公寓,FC00482,大河里,臺中市西屯區大河里河南路二段74巷13弄10號,"24.174928,120.660788",1,377,第六分局,
公寓,FC00483,大河里,臺中市西屯區大河里河南路二段74巷13弄11號,"24.175111,120.660831",1,377,第六分局,
公寓,FC00484,大河里,臺中市西屯區大河里河南路二段74巷13弄12號,"24.174923,120.660842",1,377,第六分局,
公寓,FC00485,大河里,臺中市西屯區大河里河南路二段74巷13弄15號,"24.175098,120.660933",1,377,第六分局,
公寓,FC00486,大河里,臺中市西屯區大河里河南路二段74巷13弄17號,"24.175091,120.660987",1,377,第六分局,
公寓,FC00487,大河里,臺中市西屯區大河里河南路二段74巷13弄18號,"24.174903,120.661016",1,377,第六分局,
公寓,FC00488,大河里,臺中市西屯區大河里河南路二段74巷13弄19號,"24.175086,120.661041",1,377,第六分局,
公寓,FC00478,大河里,臺中市西屯區大河里河南路二段74巷13弄2號,"24.174952,120.660595",1,377,第六分局,
公寓,FC00480,大河里,臺中市西屯區大河里河南路二段74巷13弄6號,"24.174942,120.660687",1,377,第六分局,
公寓,FC00481,大河里,臺中市西屯區大河里河南路二段74巷13弄9號,"24.175118,120.660777",1,377,第六分局,
公寓,FC00565,大河里,臺中市西屯區大河里甘河路79號,"24.174372,120.658219",1,326,第六分局,
公寓,FC00099,大河里,臺中市西屯區大河里福上巷181弄3號,"24.175384,120.657445",1,46,第六分局,
公寓,FC00193,大河里,臺中市西屯區大河里櫻城二街22號,"24.169951,120.651224",1,1141,第六分局,
公寓,FC01557,大河里,臺中市西屯區大河里河南路二段74巷35號,"24.174762,120.660892",1,281,第六分局,
公寓,FC00601,大河里,臺中市西屯區大河里大河街42巷17號,"24.173051,120.659422",1,120,第六分局,
公寓,FC00572,大河里,臺中市西屯區大河里甘河路82號,"24.173988,120.657927",1,142,第六分局,
公寓,FC00543,大河里,臺中市西屯區大河里長安路一段140號,"24.171392,120.658323",1,101,第六分局,
公寓,FC00589,大河里,臺中市西屯區大河里長安路一段152號,"24.171699,120.659347",1,160,第六分局,
公寓,FC00562,大河里,臺中市西屯區大河里長安路一段160號,"24.171832,120.659778",1,134,第六分局,
公寓,FC00590,大河里,臺中市西屯區大河里長安路一段162號,"24.171956,120.659983",1,160,第六分局,
公寓,FC00559,大河里,臺中市西屯區大河里長安路一段196號,"24.171987,120.660107",1,84,第六分局,
公寓,FC00588,大河里,臺中市西屯區大河里長安路一段222號,"24.172091,120.660383",1,106,第六分局,
公寓,FC00560,大河里,臺中市西屯區大河里長安路一段226號,"24.172121,120.66049",1,52,第六分局,
公寓,FC00548,大河里,臺中市西屯區大河里長安路一段228號,"24.172146,120.660549",1,116,第六分局,
公寓,FC01594,大河里,臺中市西屯區大河里長安路一段85號,"24.172484,120.659818",1,621,第六分局,
公寓,FC00596,大河里,臺中市西屯區大河里美滿東一巷11號,"24.17228,120.655193",1,30,第六分局,
公寓,FC00597,大河里,臺中市西屯區大河里美滿東一巷13號,"24.172277,120.655153",1,30,第六分局,
公寓,FC00598,大河里,臺中市西屯區大河里美滿東一巷15號,"24.172277,120.655109",1,30,第六分局,
公寓,FC00214,大河里,臺中市西屯區大河里美滿東一巷19號,"24.172284,120.654929",1,40,第六分局,
公寓,FC00591,大河里,臺中市西屯區大河里美滿東一巷1號,"24.172291,120.655402",1,30,第六分局,
公寓,FC00592,大河里,臺中市西屯區大河里美滿東一巷3號,"24.172288,120.655359",1,30,第六分局,
公寓,FC00593,大河里,臺中市西屯區大河里美滿東一巷5號,"24.172287,120.655317",1,30,第六分局,
公寓,FC00594,大河里,臺中市西屯區大河里美滿東一巷7號,"24.172286,120.655276",1,30,第六分局,
公寓,FC00595,大河里,臺中市西屯區大河里美滿東一巷9號,"24.172281,120.655235",1,30,第六分局,
公寓,FC00215,大河里,臺中市西屯區大河里美滿東一巷17號,"24.17229,120.654971",1,40,第六分局,
公寓,FC00213,大河里,臺中市西屯區大河里美滿東一巷21號,"24.172267,120.654889",1,40,第六分局,
公寓,FC00219,大河里,臺中市西屯區大河里美滿東一巷23號,"24.172266,120.654847",1,40,第六分局,
公寓,FC00218,大河里,臺中市西屯區大河里美滿東一巷25號,"24.17228,120.654802",1,40,第六分局,
公寓,FC00217,大河里,臺中市西屯區大河里美滿東一巷27號,"24.172279,120.654762",1,40,第六分局,
公寓,FC00216,大河里,臺中市西屯區大河里美滿東一巷29號,"24.172231,120.654724",1,40,第六分局,
公寓,FC00197,大河里,臺中市西屯區大河里美滿街10號,"24.172089,120.653932",1,60,第六分局,
公寓,FC00196,大河里,臺中市西屯區大河里美滿街12號,"24.172052,120.653936",1,60,第六分局,
公寓,FC00195,大河里,臺中市西屯區大河里美滿街14號,"24.172014,120.653938",1,60,第六分局,
公寓,FC00194,大河里,臺中市西屯區大河里美滿街16號,"24.171963,120.653941",1,60,第六分局,
公寓,FC00200,大河里,臺中市西屯區大河里美滿街2號,"24.172245,120.653921",1,60,第六分局,
公寓,FC01416,大河里,臺中市西屯區大河里美滿街39巷34號,"24.17114,120.654971",1,300,第六分局,
公寓,FC00199,大河里,臺中市西屯區大河里美滿街6號,"24.172177,120.653925",1,60,第六分局,
公寓,FC00198,大河里,臺中市西屯區大河里美滿街8號,"24.172131,120.653927",1,60,第六分局,
公寓,FC00204,大河里,臺中市西屯區大河里櫻花路42號,"24.170351,120.651809",1,40,第六分局,
公寓,FC00203,大河里,臺中市西屯區大河里櫻花路46號,"24.170373,120.651791",1,40,第六分局,
公寓,FC00202,大河里,臺中市西屯區大河里櫻花路48號,"24.17039,120.651769",1,53,第六分局,
公寓,FC00201,大河里,臺中市西屯區大河里櫻花路50號,"24.170407,120.651748",1,60,第六分局,
公寓,FC00212,大河里,臺中市西屯區大河里櫻花路52號,"24.170425,120.65173",1,40,第六分局,
公寓,FC00211,大河里,臺中市西屯區大河里櫻花路56號,"24.170442,120.651708",1,40,第六分局,
公寓,FC00210,大河里,臺中市西屯區大河里櫻花路58號,"24.170463,120.651687",1,53,第六分局,
公寓,FC00209,大河里,臺中市西屯區大河里櫻花路72號,"24.170662,120.651498",1,160,第六分局,
公寓,FC01558,大河里,臺中市西屯區大河里櫻花路74巷30號,"24.17109,120.651827",1,465,第六分局,
公寓,FC00208,大河里,臺中市西屯區大河里櫻花路81號,"24.170179,120.65154",1,40,第六分局,
公寓,FC00207,大河里,臺中市西屯區大河里櫻花路83號,"24.170213,120.651495",1,40,第六分局,
公寓,FC00205,大河里,臺中市西屯區大河里櫻花路89號,"24.170379,120.651356",1,40,第六分局,
公寓,FC00577,大河里,臺中市西屯區大河里長安路二段11巷11號,"24.173072,120.661029",1,80,第六分局,
公寓,FC00578,大河里,臺中市西屯區大河里長安路二段11巷13號,"24.173134,120.661005",1,80,第六分局,
公寓,FC00579,大河里,臺中市西屯區大河里長安路二段11巷15號,"24.1732,120.660968",1,80,第六分局,
公寓,FC00580,大河里,臺中市西屯區大河里長安路二段11巷187號,"24.173072,120.661029",1,80,第六分局,
公寓,FC00581,大河里,臺中市西屯區大河里長安路二段11巷19號,"24.173397,120.660933",1,53,第六分局,
公寓,FC00582,大河里,臺中市西屯區大河里長安路二段11巷21號,"24.173497,120.660894",1,53,第六分局,
公寓,FC00574,大河里,臺中市西屯區大河里長安路二段11巷5號,"24.172885,120.661103",1,74,第六分局,
公寓,FC00575,大河里,臺中市西屯區大河里長安路二段11巷7號,"24.172943,120.661081",1,80,第六分局,
公寓,FC00576,大河里,臺中市西屯區大河里長安路二段11巷9號,"24.173005,120.661057",1,80,第六分局,
公寓,FC00547,大河里,臺中市西屯區大河里河南路二段50號,"24.174157,120.66031",1,52,第六分局,
公寓,FC00546,大河里,臺中市西屯區大河里河南路二段52號,"24.174209,120.660304",1,57,第六分局,
公寓,FC00545,大河里,臺中市西屯區大河里河南路二段56號,"24.174296,120.660293",1,76,第六分局,
公寓,FC00549,大河里,臺中市西屯區大河里河南路二段78號,"24.175053,120.659964",1,609,第六分局,
公寓,FC00550,大河里,臺中市西屯區大河里福上巷151號,"24.175532,120.659898",1,56,第六分局,
公寓,FC01417,大河里,臺中市西屯區大河里河南路二段40號,"24.173126,120.660737",1,3636,第六分局,
公寓,FC00225,大河里,臺中市西屯區大河里美滿東三巷29弄2號,"24.172789,120.653892",1,40,第六分局,
公寓,FC00224,大河里,臺中市西屯區大河里美滿東三巷29弄4號,"24.17274,120.653896",1,40,第六分局,
公寓,FC00222,大河里,臺中市西屯區大河里美滿東三巷29弄6號,"24.172705,120.653899",1,40,第六分局,
公寓,FC00221,大河里,臺中市西屯區大河里美滿東三巷29弄8號,"24.172667,120.653902",1,40,第六分局,
公寓,FC00220,大河里,臺中市西屯區大河里美滿東三巷33號,"24.172715,120.65375",1,40,第六分局,
公寓,FC00227,大河里,臺中市西屯區大河里美滿東三巷35號,"24.172726,120.653707",1,40,第六分局,
公寓,FC00226,大河里,臺中市西屯區大河里美滿東三巷37號,"24.172719,120.653664",1,40,第六分局,
公寓,FC00223,大河里,臺中市西屯區大河里美滿東三巷39號,"24.172718,120.653623",1,40,第六分局,
公寓,FC00603,大河里,臺中市西屯區大河里大河街47號,"24.173165,120.658505",1,1200,第六分局,
公寓,FC00604,大河里,臺中市西屯區大河里大河街49號,"24.173248,120.658467",1,266,第六分局,
公寓,FC00602,大河里,臺中市西屯區大河里大河街55號,"24.173499,120.658315",1,120,第六分局,
公寓,FC00571,大河里,臺中市西屯區大河里大河街77號,"24.17394,120.658572",1,1538,第六分局,
公寓,FC00558,大河里,臺中市西屯區大河里永輝路75巷10號,"24.173079,120.656903",1,320,第六分局,
公寓,FC00567,大河里,臺中市西屯區大河里長安路一段75號,"24.17162,120.657894",1,201,第六分局,
公寓,FC01574,大河里,臺中市西屯區大河里長安路一段77號,"24.172153,120.659353",1,424,第六分局,
公寓,FC01596,大河里,臺中市西屯區大河里河南路二段103號,"24.17593,120.656323",1,1081,第六分局,
公寓,FC00570,大河里,臺中市西屯區大河里福上巷102號,"24.176279,120.661383",1,332,第六分局,
公寓,FC00563,大河里,臺中市西屯區大河里福上巷96號,"24.175898,120.657343",1,80,第六分局,
公寓,FC00569,大河里,臺中市西屯區大河里福上巷98號,"24.175898,120.657343",1,160,第六分局,
公寓,FC00573,大河里,臺中市西屯區大河里河南路二段79號,"24.175972,120.65857",1,226,第六分局,
公寓,FC00561,大河里,臺中市西屯區市大河里長安路一段67號,"24.171493,120.657398",1,120,第六分局,
公寓,FC00435,大福里,臺中市西屯區大福里長安路二段335巷11號,"24.176776,120.666388",1,17,第六分局,
公寓,FC00436,大福里,臺中市西屯區大福里長安路二段335巷13號,"24.176786,120.666321",1,24,第六分局,
公寓,FC00432,大福里,臺中市西屯區大福里長安路二段335巷5號,"24.176745,120.666552",1,20,第六分局,
公寓,FC00433,大福里,臺中市西屯區大福里長安路二段335巷7號,"24.176756,120.666493",1,25,第六分局,
公寓,FC00434,大福里,臺中市西屯區大福里長安路二段335巷9號,"24.176767,120.666437",1,25,第六分局,
公寓,FC00420,大福里,臺中市西屯區大福里長安路二段122巷10號,"24.173715,120.666206",1,205,第六分局,
公寓,FC00402,大福里,臺中市西屯區大福里長安路二段170號,"24.174806,120.666739",1,30,第六分局,
公寓,FC00391,大福里,臺中市西屯區大福里長安路二段124號,"24.174189,120.666005",1,34,第六分局,
公寓,FC00006,大福里,臺中市西屯區大福里中清路二段213號,"24.177717,120.668666",1,32,第六分局,
公寓,FC00009,大福里,臺中市西屯區大福里中清路二段189巷9號,"24.177012,120.669088",1,32,第六分局,
公寓,FC00429,大福里,臺中市西屯區大福里長安路二段317巷2號,"24.176485,120.666821",1,53,第六分局,
公寓,FC00430,大福里,臺中市西屯區大福里長安路二段317巷6號,"24.176487,120.666777",1,53,第六分局,
公寓,FC00431,大福里,臺中市西屯區大福里長安路二段317巷8號,"24.176494,120.666732",1,53,第六分局,
公寓,FC00427,大福里,臺中市西屯區大福里長安路二段321號,"24.176501,120.66692",1,53,第六分局,
公寓,FC00426,大福里,臺中市西屯區大福里長安路二段323號,"24.176545,120.666928",1,53,第六分局,
公寓,FC00425,大福里,臺中市西屯區大福里長安路二段325號,"24.176586,120.666935",1,53,第六分局,
公寓,FC00152,大福里,臺中市西屯區大福里長安路二段17號,"24.174496,120.665839",1,53,第六分局,
公寓,FC00408,大福里,臺中市西屯區大福里長安路二段207號,"24.174772,120.665965",1,373,第六分局,
公寓,FC00409,大福里,臺中市西屯區大福里長安路二段219號,"24.174515,120.666051",1,113,第六分局,
公寓,FC00410,大福里,臺中市西屯區大福里長安路二段221號,"24.174555,120.666113",1,106,第六分局,
公寓,FC00412,大福里,臺中市西屯區大福里長安路二段229號,"24.174828,120.666248",1,234,第六分局,
公寓,FC00413,大福里,臺中市西屯區大福里長安路二段243號,"24.175015,120.665845",1,118,第六分局,
公寓,FC00414,大福里,臺中市西屯區大福里長安路二段251號,"24.175063,120.666095",1,89,第六分局,
公寓,FC00922,大福里,臺中市西屯區大福里長安路二段218號,"24.175806,120.66709",1,30,第六分局,
公寓,FC00921,大福里,臺中市西屯區大福里長安路二段220號,"24.175844,120.667103",1,30,第六分局,
公寓,FC00920,大福里,臺中市西屯區大福里長安路二段222號,"24.175894,120.667091",1,30,第六分局,
公寓,FC00919,大福里,臺中市西屯區大福里長安路二段226號,"24.17592,120.66713",1,30,第六分局,
公寓,FC00918,大福里,臺中市西屯區大福里長安路二段228號,"24.175967,120.667103",1,30,第六分局,
公寓,FC00917,大福里,臺中市西屯區大福里長安路二段230號,"24.176009,120.667115",1,30,第六分局,
公寓,FC00379,大福里,臺中市西屯區大福里中清西二街47號,"24.174766,120.667294",1,25,第六分局,
公寓,FC00380,大福里,臺中市西屯區大福里中清西二街49號,"24.174785,120.66724",1,25,第六分局,
公寓,FC00381,大福里,臺中市西屯區大福里中清西二街51號,"24.174804,120.667192",1,24,第六分局,
公寓,FC00382,大福里,臺中市西屯區大福里中清西二街53號,"24.17482,120.667154",1,24,第六分局,
公寓,FC00383,大福里,臺中市西屯區大福里中清西二街55號,"24.174835,120.667115",1,24,第六分局,
公寓,FC00384,大福里,臺中市西屯區大福里中清西二街57號,"24.174851,120.66708",1,24,第六分局,
公寓,FC00385,大福里,臺中市西屯區大福里中清西二街59號,"24.174866,120.667041",1,24,第六分局,
公寓,FC00386,大福里,臺中市西屯區大福里中清西二街61號,"24.17488,120.667004",1,24,第六分局,
公寓,FC00387,大福里,臺中市西屯區大福里中清西二街63號,"24.174896,120.666967",1,24,第六分局,
公寓,FC00388,大福里,臺中市西屯區大福里中清西二街65號,"24.174911,120.666925",1,29,第六分局,
公寓,FC00392,大福里,臺中市西屯區大福里長安路二段138號,"24.174378,120.666326",1,48,第六分局,
