類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,S
國立教育廣播電臺臺中節目中心,AD00331,大墩里,臺中市中區大墩里三民路二段21號,"24.140805,120.677587",1,53,第一分局,
中華電信,AB00291,公園里,臺中市中區公園里市府路59號,"24.139337,120.679616",1,1494,第一分局,
台灣電力公司,AB00218,公園里,臺中市中區公園里自由路二段86號,"24.141728,120.684573",1,610,第一分局,
台中火車站(舊),AB00007,綠川里,臺中市綠川里建國路172號,"24.136536,120.68429",1,1176,第一分局,
光明國中,AA00427,利民里,臺中市西區利民里自由路一段75號,"24.132476,120.673212",1,1042,第一分局,
台中州廳,AA00382,利民里,臺中市西區利民里民權路99號,"24.138376,120.677989",1,594,第一分局,
台中州廳,AA00382,利民里,臺中市西區利民里民權路99之1號,"24.138959,120.677734",1,901,第一分局,
中華電信,AA00384,利民里,臺中市西區利民里市府路37號,"24.137667,120.677876",1,673,第一分局,
台中地檢署第三辦公室,AA00359,利民里,臺中市西區利民里自由路一段85之1號之6,"24.132638,120.674222",1,72,第一分局,
勞動部勞工保險局 臺中市辦事處,AA00526,廣民里,臺中市西區廣民里民權路131號,"24.141781,120.67518",1,165,第一分局,
衛服部中區兒童之家,AA00398,廣民里,臺中市西區廣民里大明街27號,"24.139315,120.674204",1,176,第一分局,
經濟部水利署河川勘測隊,AA00576,廣民里,臺中市西區廣民里樂群街37號,"24.138939,120.672658",1,301,第一分局,
家私—工具圖書館,AA00190,藍興里,臺中市西區藍興里大全街126號,"24.133565,120.668364",1,65,第一分局,
公路總局第二區養護工程處,AA01198,藍興里,臺中市西區藍興里大全街127號,"24.132558,120.66835",1,2206,第一分局,
臺中教育大學,AA00468,平和里,臺中市西區平和里民生路140號,"24.143392,120.671791",1,6321,第一分局,
西區區公所,AA00476,平和里,臺中市西區平和里金山路11號,"24.141169,120.671164",1,1004,第一分局,
忠信國小,AA00505,公民里,臺中市西區公民里林森路155號,"24.139281,120.668572",1,1342,第一分局,
大同國小,AA00441,民生里,臺中市西區民生里自由路一段138號,"24.135635,120.678251",1,2306,第一分局,
居仁國中,AA00633,民生里,臺中市西區民生里自由路一段97號,"24.137074,120.678726",1,2191,第一分局,
台中女中,AA00425,民生里,臺中市西區民生里自由路一段95號,"24.135895,120.677375",1,2257,第一分局,
台銀證券,AA00368,民生里,臺中市西區民生里民權路95號,"24.138159,120.679177",1,1755,第一分局,
台中法院,AA00443,民生里,臺中市西區民生里自由路一段91號,"24.134618,120.675582",1,5714,第一分局,
台中育幼院兒童福利館,AA00444,民生里,臺中市西區民生里自由路一段98之1號,"24.134067,120.676238",1,173,第一分局,
臺中市政府交通局,AA00229,三民里,臺中市西區三民里民權路一段101號,"24.13943,120.677259",1,36,第一分局,
忠孝國小,AA00231,三民里,臺中市西區三民里三民路一段171號,"24.137805,120.67366",1,2481,第一分局,
臺中市政府地政局,AA01226,三民里,臺中市西區三民里三民路一段158號,"24.136472,120.673921",1,3665,第一分局,
交通部公路總局西部濱海公路北區臨時工程處,AA00215,三民里,臺中市西區三民里三民路一段187號,"24.138722,120.675287",1,227,第一分局,
臺中市政府警察局第一分局,AA00316,三民里,臺中市西區三民里三民路一段178號,"24.138262,120.675788",1,136,第一分局,
臺中市政府警察局第一分局交通分隊,AA00317,三民里,臺中市西區三民里三民路一段162號,"24.137094,120.674336",1,80,第一分局,
國立臺灣美術館,AC01237,土庫里,臺中市西區土庫里五權西路一段2號,"24.141525,120.663569",1,4966,第一分局,
透天,AD00181,柳川里,臺中市中區柳川里興中街99號,"24.145091,120.680227",1,302,第一分局,
透天,AD00226,柳川里,臺中市中區柳川里臺灣大道一段433號,"24.143346,120.678254",1,276,第一分局,
透天,AD00222,柳川里,臺中市中區柳川里臺灣大道一段441號,"24.143456,120.678139",1,208,第一分局,
透天,AD00126,柳川里,臺中市中區柳川里臺灣大道一段410號,"24.143194,120.678894",1,204,第一分局,
透天,AD00179,柳川里,臺中市中區柳川里公園路77號,"24.145505,120.680329",1,200,第一分局,
透天,AD00180,柳川里,臺中市中區柳川里興中街93號,"24.145021,120.68015",1,174,第一分局,
大樓,AD00225,柳川里,臺中市中區柳川里民權路156號,"24.140795,120.676886",1,173,第一分局,
透天,AD00174,柳川里,臺中市中區柳川里光復路136號,"24.145275,120.679551",1,161,第一分局,
透天,AD00230,柳川里,臺中市中區柳川里民族路176號,"24.141871,120.677169",1,160,第一分局,
透天,AD00175,柳川里,臺中市中區柳川里光復路86號,"24.144293,120.680623",1,146,第一分局,
公寓,AD00127,柳川里,臺中市中區柳川里吉祥街1號,"24.144252,120.679474",1,144,第一分局,
透天,AD00177,柳川里,臺中市中區柳川里光復路88巷3號,"24.14449,120.68064",1,134,第一分局,
透天,AD00144,柳川里,臺中市中區柳川里興中街60-13號,"24.143443,120.679402",1,132,第一分局,
透天,AD00176,柳川里,臺中市中區柳川里光復路88巷1號,"24.144469,120.680606",1,130,第一分局,
